country,year,donors,pop,pop_dens,gdp,gdp_lag,health,health_lag,pubhealth,roads,cerebvas,assault,external,txp_pop,world,opt,consent_law,consent_practice,consistent,ccode
Austria,1999-01-01,25.9,7992.0,9.53016932983544,26513.0,25423,2069.0,1953.0,5.4,135.01001001001,699.0,8.0,458.0,0.625625625625626,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2000-01-01,24.0,8012.0,9.55401860243263,27738.0,26513,2147.0,2069.0,5.4,121.817274088867,644.0,9.0,460.0,0.624063904143784,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2001-01-01,23.9,8030.0,9.57548294777009,28457.0,27738,2174.0,2147.0,5.2,119.302615193026,583.0,9.0,429.0,0.62266500622665,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2002-01-01,23.8,8053.0,9.60290961125686,28842.0,28457,2220.0,2174.0,5.4,118.713522910717,586.0,9.0,442.0,0.620886626102074,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,,,,,,28842,2266.0,2220.0,,,,,,,Corporatist,Out,Presumed,Presumed,Yes,Aus
Belgium,,,9967.0,30.1117824773414,18008.0,16848,1340.0,1246.0,,198.254238988663,688.0,13.0,565.0,0.802648740844788,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1991-01-01,21.0,10005.0,30.226586102719,18796.0,18008,1460.0,1340.0,,187.206396801599,662.0,14.0,561.0,0.79960019990005,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1992-01-01,20.6,10045.0,30.3474320241692,19444.0,18796,1547.0,1460.0,,166.450970632155,646.0,16.0,547.0,0.79641612742658,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1993-01-01,21.0,10085.0,30.4682779456193,19733.0,19444,1595.0,1547.0,,164.600892414477,659.0,19.0,574.0,0.793257312840853,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1994-01-01,22.8,10116.0,30.5619335347432,20732.0,19733,1632.0,1595.0,6.0,167.259786476868,615.0,17.0,584.0,0.790826413602214,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1995-01-01,19.6,10137.0,30.6253776435045,21679.0,20732,1882.0,1632.0,6.0,142.941698727434,586.0,16.0,549.0,0.789188122718753,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1996-01-01,21.2,10157.0,30.6858006042296,22152.0,21679,1981.0,1882.0,6.4,133.503987397854,585.0,19.0,523.0,0.78763414394014,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1997-01-01,22.5,10181.0,30.7583081570997,22936.0,22152,1967.0,1981.0,6.0,133.975051566644,574.0,17.0,523.0,0.785777428543365,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1998-01-01,19.4,10203.0,30.8247734138973,23738.0,22936,2041.0,1967.0,6.0,147.015583651867,563.0,15.0,523.0,0.784083112809958,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1999-01-01,25.2,10226.0,30.8942598187311,24521.0,23738,2139.0,2041.0,6.2,136.61255622922,552.0,13.0,523.0,0.782319577547428,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2000-01-01,25.6,10251.0,30.9697885196375,25991.0,24521,2288.0,2139.0,6.2,143.400643839625,541.0,11.0,523.0,0.780411667154424,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2001-01-01,22.2,10287.0,31.0785498489426,27113.0,25991,2441.0,2288.0,6.4,144.454165451541,530.0,9.0,523.0,0.777680567706814,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2002-01-01,21.7,10333.0,31.2175226586103,27652.0,27113,2515.0,2441.0,6.5,145.359527726701,519.0,7.0,523.0,0.774218523178167,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,,,,,,27652,2589.0,2515.0,,,,,,,Corporatist,Out,Presumed,Presumed,No,Bel
Canada,,,27701.0,0.277826532178071,19044.0,18699,1714.0,1600.0,6.7,143.063427313093,476.0,20.0,469.0,1.11909317353164,Liberal,In,Informed,Informed,Yes,Can
Canada,1991-01-01,14.7,28031.0,0.281136259466572,19101.0,19044,1855.0,1714.0,7.2,131.639970033178,462.0,22.0,463.0,1.1059184474332,Liberal,In,Informed,Informed,Yes,Can
Canada,1992-01-01,12.6,28377.0,0.284606458381182,19590.0,19101,1959.0,1855.0,7.4,123.37456390739,449.0,20.0,436.0,1.09243401346161,Liberal,In,Informed,Informed,Yes,Can
Canada,1993-01-01,14.1,28703.0,0.287876067763156,20269.0,19590,2002.0,1959.0,7.2,125.94502316831,463.0,17.0,440.0,1.08002647806849,Liberal,In,Informed,Informed,Yes,Can
Canada,1994-01-01,13.9,29036.0,0.291215883481552,21428.0,20269,2039.0,2002.0,6.9,112.377737980438,444.0,17.0,422.0,1.06764017082243,Liberal,In,Informed,Informed,Yes,Can
Canada,1995-01-01,14.8,29354.0,0.294405257050471,22292.0,21428,2044.0,2039.0,6.5,114.158206717994,434.0,16.0,424.0,1.05607412959052,Liberal,In,Informed,Informed,Yes,Can
Canada,1996-01-01,14.0,29672.0,0.29759463061939,22764.0,22292,2039.0,2044.0,6.3,104.172283634403,432.0,17.0,417.0,1.04475599892154,Liberal,In,Informed,Informed,Yes,Can
Canada,1997-01-01,14.2,29987.0,0.300753915758414,23949.0,22764,2130.0,2039.0,6.2,102.177610297796,430.0,14.0,399.0,1.03378130523227,Liberal,In,Informed,Informed,Yes,Can
Canada,1998-01-01,13.7,30248.0,0.303371609159319,25013.0,23949,2291.0,2130.0,6.5,97.4940491933351,407.0,15.0,398.0,1.02486114784449,Liberal,In,Informed,Informed,Yes,Can
Canada,1999-01-01,13.8,30499.0,0.305889007793906,26658.0,25013,2400.0,2291.0,6.3,97.8720613790616,387.0,15.0,411.0,1.01642676809076,Liberal,In,Informed,Informed,Yes,Can
Canada,2000-01-01,15.3,30770.0,0.30860699596113,28472.0,26658,2541.0,2400.0,6.3,95.0926226844329,378.0,15.0,382.0,1.00747481312967,Liberal,In,Informed,Informed,Yes,Can
Canada,2001-01-01,13.5,31111.0,0.312027047492581,29235.0,28472,2743.0,2541.0,6.6,89.2931760470573,369.0,15.0,353.0,0.99643213011475,Liberal,In,Informed,Informed,Yes,Can
Canada,2002-01-01,13.0,31414.0,0.315065978912022,30429.0,29235,2931.0,2743.0,6.7,83.7206341121793,360.0,15.0,324.0,0.986821162538995,Liberal,In,Informed,Informed,Yes,Can
Canada,,,,,,30429,3119.0,2931.0,,,,,,,Liberal,In,Informed,Informed,Yes,Can
Denmark,,,5141.0,11.9308424228359,18285.0,17460,1554.0,1506.0,7.0,123.322310834468,699.0,10.0,582.0,0.778058743435129,SocDem,In,Informed,Informed,Yes,Den
Denmark,1991-01-01,11.7,5154.0,11.9610118356927,19126.0,18285,1603.0,1554.0,7.0,117.578579743888,688.0,13.0,572.0,0.776096235933256,SocDem,In,Informed,Informed,Yes,Den
Denmark,1992-01-01,16.1,5171.0,12.0004641448132,19644.0,19126,1660.0,1603.0,7.0,111.58383291433,691.0,13.0,565.0,0.7735447689035,SocDem,In,Informed,Informed,Yes,Den
Denmark,1993-01-01,14.7,5189.0,12.0422371779995,20056.0,19644,1757.0,1660.0,7.2,107.727885912507,714.0,12.0,574.0,0.770861437656581,SocDem,In,Informed,Informed,Yes,Den
Denmark,1994-01-01,12.9,5206.0,12.08168948712,21494.0,20056,1834.0,1757.0,7.0,104.878985785632,646.0,13.0,548.0,0.768344218209758,SocDem,In,Informed,Informed,Yes,Den
Denmark,1995-01-01,12.9,5233.0,12.1443490368995,22462.0,21494,1843.0,1834.0,6.8,111.217274985668,655.0,11.0,535.0,0.764379896808714,SocDem,In,Informed,Informed,Yes,Den
Denmark,1996-01-01,14.0,5263.0,12.2139707588768,23548.0,22462,1949.0,1843.0,6.8,97.6629298878966,650.0,11.0,499.0,0.760022800684021,SocDem,In,Informed,Informed,Yes,Den
Denmark,1997-01-01,11.4,5285.0,12.2650266883268,24676.0,23548,2028.0,1949.0,6.8,92.5260170293283,606.0,11.0,506.0,0.75685903500473,SocDem,In,Informed,Informed,Yes,Den
Denmark,1998-01-01,11.0,5304.0,12.309120445579,25537.0,24676,2141.0,2028.0,6.9,94.079939668175,580.0,9.0,482.0,0.754147812971342,SocDem,In,Informed,Informed,Yes,Den
Denmark,1999-01-01,14.3,5322.0,12.3508934787654,26985.0,25537,2297.0,2141.0,7.0,96.5802329951146,588.0,11.0,495.0,0.751597143930853,SocDem,In,Informed,Informed,Yes,Den
Denmark,2000-01-01,12.5,5340.0,12.3926665119517,28146.0,26985,2351.0,2297.0,6.9,97.5655430711611,596.0,13.0,508.0,0.749063670411985,SocDem,In,Informed,Informed,Yes,Den
Denmark,2001-01-01,12.9,5359.0,12.436760269204,29203.0,28146,2523.0,2353.0,7.1,80.4254525097966,604.0,15.0,521.0,0.746407911923866,SocDem,In,Informed,Informed,Yes,Den
Denmark,2002-01-01,12.7,5376.0,12.4762125783244,29228.0,29203,2580.0,2520.0,7.3,86.1235119047619,612.0,17.0,534.0,0.744047619047619,SocDem,In,Informed,Informed,Yes,Den
Denmark,,,,,,29228,2637.0,2583.0,,,,,,,SocDem,In,Informed,Informed,Yes,Den
Finland,,,4986.0,1.47449356794322,18025.0,17436,1414.0,1268.0,6.3,130.16446048937,957.0,30.0,853.0,0.601684717208183,SocDem,nan,Presumed,Informed,No,Fin
Finland,1991-01-01,16.8,5014.0,1.48277391690078,17281.0,18025,1547.0,1414.0,7.3,126.047068209015,939.0,28.0,823.0,0.598324690865576,SocDem,nan,Presumed,Informed,No,Fin
Finland,1992-01-01,19.4,5042.0,1.49105426585835,16943.0,17281,1542.0,1547.0,7.2,119.198730662436,886.0,32.0,792.0,0.595001983339944,SocDem,nan,Presumed,Informed,No,Fin
Finland,1993-01-01,19.6,5066.0,1.49815170782197,17082.0,16943,1421.0,1542.0,6.3,95.5388866956178,932.0,31.0,741.0,0.592183181997631,SocDem,nan,Presumed,Informed,No,Fin
Finland,1994-01-01,20.0,5088.0,1.50465769628863,17993.0,17082,1390.0,1421.0,5.8,94.3396226415094,830.0,29.0,738.0,0.589622641509434,SocDem,nan,Presumed,Informed,No,Fin
Finland,1995-01-01,19.4,5108.0,1.51057223125832,19031.0,17993,1428.0,1390.0,5.7,86.335160532498,875.0,28.0,737.0,0.587314017227878,SocDem,nan,Presumed,Informed,No,Fin
Finland,1996-01-01,19.5,5125.0,1.51559958598255,19842.0,19031,1517.0,1428.0,5.8,78.8292682926829,736.0,32.0,686.0,0.585365853658537,SocDem,nan,Presumed,Informed,No,Fin
Finland,1997-01-01,16.3,5140.0,1.52003548720982,21691.0,19842,1580.0,1517.0,5.5,85.2140077821012,721.0,25.0,701.0,0.583657587548638,SocDem,nan,Presumed,Informed,No,Fin
Finland,1998-01-01,19.8,5154.0,1.5241756616886,23267.0,21691,1607.0,1580.0,5.3,77.6096235933256,670.0,22.0,686.0,0.582072176949942,SocDem,nan,Presumed,Informed,No,Fin
Finland,1999-01-01,16.5,5166.0,1.52772438267041,23702.0,23267,1641.0,1607.0,5.2,83.4301200154859,652.0,24.0,673.0,0.580720092915215,SocDem,nan,Presumed,Informed,No,Fin
Finland,2000-01-01,19.9,5176.0,1.53068165015526,25397.0,23702,1698.0,1641.0,5.0,76.5069551777434,639.0,25.0,657.0,0.579598145285935,SocDem,nan,Presumed,Informed,No,Fin
Finland,2001-01-01,17.0,5188.0,1.53423037113707,26376.0,25397,1841.0,1698.0,5.3,83.4618350038551,604.0,26.0,660.0,0.578257517347726,SocDem,nan,Presumed,Informed,No,Fin
Finland,2002-01-01,17.1,5201.0,1.53807481886737,26616.0,26376,1943.0,1841.0,5.5,79.7923476254566,587.0,25.0,638.0,0.576812151509325,SocDem,nan,Presumed,Informed,No,Fin
Finland,,,,,,26616,2045.0,1943.0,,,,,,,SocDem,nan,Presumed,Informed,No,Fin
France,,,56709.0,10.2826835902085,18162.0,17113,1555.0,1555.0,6.6,197.764023347264,529.0,10.0,689.0,0.722989296231639,Corporatist,Out,Presumed,Informed,No,Fra
France,1991-01-01,19.1,56976.0,10.3310970081596,18989.0,18162,1668.0,1555.0,6.7,183.989750070205,520.0,10.0,668.0,0.719601235607975,Corporatist,Out,Presumed,Informed,No,Fra
France,1992-01-01,16.8,57240.0,10.3789664551224,19566.0,18989,1769.0,1668.0,6.9,172.955974842767,487.0,10.0,650.0,0.716282320055905,Corporatist,Out,Presumed,Informed,No,Fra
France,1993-01-01,17.1,57467.0,10.4201269265639,19763.0,19566,1866.0,1769.0,7.2,171.69854003167,473.0,11.0,645.0,0.713452938208015,Corporatist,Out,Presumed,Informed,No,Fra
France,1994-01-01,15.4,57659.0,10.4549410698096,20655.0,19763,1937.0,1866.0,7.1,156.419639605265,437.0,11.0,615.0,0.711077195234049,Corporatist,Out,Presumed,Informed,No,Fra
France,1995-01-01,15.1,57844.0,10.4884859474161,21283.0,20655,2025.0,1937.0,7.3,153.706520987484,431.0,10.0,602.0,0.708802987345273,Corporatist,Out,Presumed,Informed,No,Fra
France,1996-01-01,15.1,58026.0,10.5214868540345,21990.0,21283,2091.0,2025.0,7.2,147.192637783063,424.0,10.0,580.0,0.706579809051115,Corporatist,Out,Presumed,Informed,No,Fra
France,1997-01-01,15.0,58208.0,10.5544877606528,23113.0,21990,2163.0,2091.0,7.1,145.065970313359,409.0,9.0,571.0,0.704370533260033,Corporatist,Out,Presumed,Informed,No,Fra
France,1998-01-01,16.5,58398.0,10.588939256573,24044.0,23113,2231.0,2163.0,7.1,152.710709270865,405.0,7.0,581.0,0.702078838316381,Corporatist,Out,Presumed,Informed,No,Fra
France,1999-01-01,16.2,58623.0,10.629737080689,24856.0,24044,2306.0,2231.0,7.1,144.772529553247,394.0,7.0,572.0,0.699384200740324,Corporatist,Out,Presumed,Informed,No,Fra
France,2000-01-01,17.0,58896.0,10.6792384406165,25928.0,24856,2416.0,2306.0,7.1,137.174001629992,383.0,7.0,563.0,0.69614235262157,Corporatist,Out,Presumed,Informed,No,Fra
France,2001-01-01,17.8,59192.0,10.7329102447869,27394.0,25928,2588.0,2416.0,7.2,137.856467090147,372.0,7.0,554.0,0.692661170428436,Corporatist,Out,Presumed,Informed,No,Fra
France,2002-01-01,20.0,59486.0,10.7862194016319,28094.0,27394,2736.0,2588.0,7.4,128.685741182799,361.0,7.0,545.0,0.689237803853007,Corporatist,Out,Presumed,Informed,No,Fra
France,,,,,,28094,2884.0,2760.0,,,,,,,Corporatist,Out,Presumed,Informed,No,Fra
Germany,,,63254.0,17.7167184830406,20359.0,19015,1729.0,1630.0,6.5,174.629272457078,846.0,10.0,477.0,0.695608182881715,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1991-01-01,13.3,80014.0,22.411001876593,17511.0,20359,1845.5,1729.0,7.25,141.225285575024,880.0,11.0,480.0,0.549903766840803,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1992-01-01,14.2,80625.0,22.5821359549618,19811.0,17511,1962.0,1845.5,8.0,131.857364341085,834.0,11.0,456.0,0.545736434108527,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1993-01-01,13.9,81156.0,22.7308629526931,19983.0,19811,1988.0,1962.0,8.0,122.591059194637,817.0,11.0,432.0,0.542165705554734,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1994-01-01,12.3,81438.0,22.8098479119402,20690.0,19983,2106.0,1988.0,8.2,120.508853360839,791.0,11.0,417.0,0.540288317493062,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1995-01-01,12.8,81678.0,22.8770691538526,21411.0,20690,2263.0,2106.0,8.5,115.747202429051,753.0,11.0,399.0,0.538700751732413,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1996-01-01,12.7,81915.0,22.9434501302412,22164.0,21411,2410.0,2263.0,8.8,106.915705304279,725.0,11.0,385.0,0.537142159555637,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1997-01-01,13.2,82035.0,22.9770607511974,22589.0,22164,2416.0,2410.0,8.5,104.211616992747,679.0,9.0,370.0,0.536356433229719,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1998-01-01,13.4,82047.0,22.980421813293,23283.0,22589,2470.0,2416.0,8.3,94.9699562445915,650.0,9.0,345.0,0.536277987007447,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1999-01-01,13.2,82100.0,22.9952665042153,24100.0,23283,2563.0,2470.0,8.4,94.6650426309379,608.0,9.0,339.0,0.535931790499391,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2000-01-01,12.5,82212.0,23.0266364171078,24942.0,24100,2640.0,2563.0,8.3,91.2640490439352,558.0,7.0,338.0,0.535201673721598,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2001-01-01,12.8,82350.0,23.0652886312075,25436.0,24942,2735.0,2640.0,8.5,84.7237401335762,535.0,7.0,329.0,0.534304796599879,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2002-01-01,12.2,82489.0,23.1042209338151,25843.0,25436,2830.0,2735.0,8.6,82.9443925856781,512.0,7.0,320.0,0.53340445392719,Corporatist,In,Informed,Informed,Yes,Ger
Germany,,,,,,25843,2925.0,2830.0,,,,,,,Corporatist,In,Informed,Informed,Yes,Ger
Italy,,,56719.0,18.8222605694564,17430.0,16525,1397.0,1274.0,6.4,125.83085033234,886.0,25.0,422.0,0.458400183360073,Corporatist,In,Presumed,Informed,No,Ita
Italy,1991-01-01,5.2,56751.0,18.8328798035442,18209.0,17430,1520.0,1397.0,6.6,142.429208295889,876.0,27.0,435.0,0.458141706754066,Corporatist,In,Presumed,Informed,No,Ita
Italy,1992-01-01,5.8,56859.0,18.8687197185903,18883.0,18209,1584.0,1520.0,6.5,140.945145007826,832.0,21.0,419.0,0.457271496157161,Corporatist,In,Presumed,Informed,No,Ita
Italy,1993-01-01,6.2,57049.0,18.9317714209863,19124.0,18883,1554.0,1584.0,6.2,125.558730214377,821.0,16.0,396.0,0.455748567021333,Corporatist,In,Presumed,Informed,No,Ita
Italy,1994-01-01,7.9,57204.0,18.9832083360988,19903.0,19124,1557.0,1554.0,5.9,123.959862946647,791.0,15.0,381.0,0.454513670372701,Corporatist,In,Presumed,Informed,No,Ita
Italy,1995-01-01,10.1,57301.0,19.0153978894272,20652.0,19903,1524.0,1557.0,5.3,122.510950943265,715.0,14.0,376.0,0.453744262752832,Corporatist,In,Presumed,Informed,No,Ita
Italy,1996-01-01,11.0,57397.0,19.0472555916904,21396.0,20652,1605.0,1524.0,5.4,116.312699269997,670.0,14.0,366.0,0.452985347666254,Corporatist,In,Presumed,Informed,No,Ita
Italy,1997-01-01,11.6,57512.0,19.0854184641933,22030.0,21396,1705.0,1605.0,5.6,116.706078731395,669.0,12.0,365.0,0.452079566003617,Corporatist,In,Presumed,Informed,No,Ita
Italy,1998-01-01,12.3,57588.0,19.1106391451517,23291.0,22030,1800.0,1705.0,5.6,109.640897409182,670.0,12.0,359.0,0.451482947836355,Corporatist,In,Presumed,Informed,No,Ita
Italy,1999-01-01,13.7,57646.0,19.1298865069357,23729.0,23291,1853.0,1800.0,5.6,115.064358324949,627.0,11.0,343.0,0.451028692363737,Corporatist,In,Presumed,Informed,No,Ita
Italy,2000-01-01,14.2,57762.0,19.1683812305038,24629.0,23729,2001.0,1853.0,6.0,110.972611751671,597.0,10.0,327.0,0.450122918181503,Corporatist,In,Presumed,Informed,No,Ita
Italy,2001-01-01,17.1,57894.0,19.2121855711157,25359.0,24629,2107.0,2001.0,6.3,115.417832590597,567.0,9.0,311.0,0.449096624866135,Corporatist,In,Presumed,Informed,No,Ita
Italy,2002-01-01,18.1,57994.0,19.2453706776399,25569.0,25359,2166.0,2107.0,6.4,119.908956098907,537.0,8.0,295.0,0.448322240231748,Corporatist,In,Presumed,Informed,No,Ita
Italy,,,,,,25569,2225.0,2166.0,,,,,,,Corporatist,In,Presumed,Informed,No,Ita
Ireland,,,3514.0,5.00071154119824,12917.0,11434,791.0,727.0,4.4,136.027319294252,825.0,7.0,432.0,0.853727945361411,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1991-01-01,19.0,3534.0,5.02917318912765,13495.0,12917,884.0,791.0,4.8,125.919637804188,807.0,6.0,410.0,0.848896434634975,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1992-01-01,19.5,3558.0,5.06332716664295,14241.0,13495,1005.0,884.0,5.0,116.63856098932,787.0,8.0,379.0,0.843170320404722,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1993-01-01,17.1,3576.0,5.08894264977942,14927.0,14241,1041.0,1005.0,5.1,120.525727069351,802.0,7.0,374.0,0.838926174496644,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1994-01-01,20.3,3590.0,5.10886580333001,15990.0,14927,1119.0,1041.0,5.0,112.534818941504,749.0,7.0,392.0,0.835654596100278,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1995-01-01,24.6,3609.0,5.13590436886296,17789.0,15990,1208.0,1119.0,4.9,121.086173455251,733.0,8.0,387.0,0.831255195344971,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1996-01-01,16.8,3636.0,5.17432759356767,19245.0,17789,1269.0,1208.0,4.7,124.587458745875,719.0,9.0,391.0,0.825082508250825,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1997-01-01,20.9,3673.0,5.22698164223709,22017.0,19245,1417.0,1269.0,4.8,128.777566022325,665.0,8.0,394.0,0.81677103185407,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1998-01-01,23.8,3715.0,5.28675110288886,23995.0,22017,1487.0,1417.0,4.7,123.28398384926,614.0,11.0,417.0,0.807537012113055,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1999-01-01,18.7,3756.0,5.34509748114416,25936.0,23995,1623.0,1487.0,4.6,110.223642172524,663.0,10.0,409.0,0.798722044728434,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2000-01-01,17.6,3801.0,5.40913618898534,27891.0,25936,1774.0,1623.0,4.7,109.181794264667,631.0,10.0,394.0,0.789265982636148,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2001-01-01,18.2,3863.0,5.49736729756653,29703.0,27891,2059.0,1774.0,5.2,106.652860471136,599.0,10.0,379.0,0.776598498576236,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2002-01-01,21.0,3932.0,5.59555998292301,32571.0,29703,2367.0,2059.0,5.5,95.6256358087487,567.0,10.0,364.0,0.762970498474059,Liberal,In,Informed,Informed,Yes,Irl
Ireland,,,,,,32571,2675.0,2367.0,,,,,,,Liberal,In,Informed,Informed,Yes,Irl
Netherlands,,,14952.0,36.0028894774862,17707.0,16580,1419.0,1320.0,5.4,92.027822364901,649.0,9.0,310.0,0.735687533440342,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1991-01-01,14.9,15070.0,36.2870214302914,18708.0,17707,1532.0,1419.0,5.7,85.0033178500332,651.0,11.0,314.0,0.72992700729927,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1992-01-01,15.1,15184.0,36.561521791476,19285.0,18708,1623.0,1532.0,6.1,82.5210748155954,650.0,12.0,309.0,0.724446786090622,SocDem,In,Informed,Informed,Yes,Neth
